순번,과목코드,과목명,구분,구분2,학점,성적부여,담당교수,수업시간,장바구니,수강정원,수강인원
10051,934002,미술의이론과감상,확대교양,예술과체육,3,Grade,백다은,"월02 ,03 ,04 [N14-208(56-208)]",50,80,72
10052,921042,발표와 토론,일반교양,인간과문화,3,Grade,이상희,"목06 ,07 ,08 [N15-242(57-242)]",14,40,23
10053,934012,배드민턴의이론과실기,확대교양,예술과체육,2,Grade,이광진,"목07 ,08 ,09 [S21-4-334(92-334)]",25,20,20
10054,934014,볼링의이론과실기,확대교양,예술과체육,2,Grade,김세형,"월05 ,06 ,07 [S21-4-336(92-336)]",13,20,17
10055,921013,사랑과 문화,일반교양,인간과문화,3,Grade,"김경화, 안상원","화07 ,08 ,09 [N15-242(57-242)]",30,70,65
10056,923020,산업안전과 환경,일반교양,자연과과학,3,Grade,김병옥,"화07 ,08 ,09 [E8-10-103(508-103)]",30,80,35
10057,922032,생활 속의 경제학,일반교양,사회와역사,3,Grade,조택희,"수05 ,06 ,07 [N14-204(56-204)]",20,100,64
10058,933008,생활 속의 창업아이디어,확대교양,진로와취업,3,Grade,미지정,"목01 ,02 ,03 [N13-304(59-304)]",15,80,18
10059,922014,생활과법,일반교양,사회와역사,3,Grade,장진보,"금07 ,08 ,09 [N14-208(56-208)]",45,80,26
10060,922014,생활과법,일반교양,사회와역사,3,Grade,홍진희,"월07 ,08 ,09 [N14-703(56-703)]",43,80,78
10061,922014,생활과법,일반교양,사회와역사,3,Grade,최상회,"화07 ,08 ,09 [N14-204(56-204)]",73,80,82
10062,922014,생활과법,일반교양,사회와역사,3,Grade,지광운,"목07 ,08 ,09 [N14-703(56-703)]",7,80,4
10063,922014,생활과법,일반교양,사회와역사,3,Grade,김윤정,"월02 ,03 ,04 [N14-202(56-202)]",78,,66
10064,921022,생활속의철학,일반교양,인간과문화,3,Grade,박보람,"수06 ,07 ,08 [N16-1-329(58-329)]",15,80,39
10065,921022,생활속의철학,일반교양,인간과문화,3,Grade,최천식,"화07 ,08 ,09 [N14-207(56-207)]",49,80,78
10066,934017,생활속의호신술,확대교양,예술과체육,2,Grade,최명,"월05 ,06 ,07 [S21-4-334(92-334)]",14,20,18
10067,922004,서양문화사,일반교양,사회와역사,3,Grade,윤진,"월07 ,08 ,09 [N16-1-329(58-329)]",28,80,78
10068,922033,성문화의 이해,일반교양,사회와역사,3,Grade,김정내,"금01 ,02 ,03 [N14-703(56-703)]",8,80,14
10069,922033,성문화의 이해,일반교양,사회와역사,3,Grade,박소영,"목05 ,06 ,07 [N14-704(56-704)]",14,80,11
10070,921024,세계 미술문화재 탐구,일반교양,인간과문화,3,Grade,박화선,"월02 ,03 ,04 [N16-1-127(58-127)]",118,250,213
10071,921023,세계문화유산의 이해,일반교양,인간과문화,3,Grade,임병덕,"월06 ,07 ,08 [N14-204(56-204)]",51,100,85
