과제 많음,50001
과제 보통,50002
과제 없음,50003
조모임 많음,50004
조모임 보통,50005
조모임 없음,50006
학점 느님,50007
학점 비율채워줌,50008
학점 깐깐함,50009
F폭격기,50010
출결 혼용,50011
출결 직접호명,50012
출결 지정좌석,50013
전자출결,50014
출결 반영안함,50015
시험 네 번 이상,50016
시험 세 번,50017
시험 두 번,50018
시험 한 번,50019
시험 없음,50020
pass/fail,50021
grade,50022
객관식,50023
주관식,50024
프로젝트 있음,50025
암기 많음,50026
